uid c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 total
 44  0  0  0  3  0 13  0  6  0  3   25
116  0  1  1  2  2  2  0  4  2 11   25
556  0  0  0  0  0  4  0  7  0 14   25
538  0  0  0  3  0 11  0  4  0  7   25
114  0  1  0  0  0  6  0  7  0 11   25
663  0  0  0  0  0  4  8 13  0  1   26
539  0  0  0  0  0  6  0 14  0  6   26
246  0  0  0  2  0  9  0 12  0  3   26
129  0  1  0  3  0 13  0  8  0  1   26
415  0  0  0  0  0 10  0  6  0 10   26
 25  0  1  0  6  0 11  0  5  0  3   26
154  0  0  0  0  0  8  0 11  0  7   26
227  0  4  0  2  0  3  0  6  0 11   26
170  0  2  2  5  5  9  1  1  1  0   26
565  0  0  0  4  0  8  0  7  0  8   27
429  2  1  3  8  6  5  0  2  0  0   27
 65  0  0  0  3  0  3  0  8  0 13   27
181  0  0  0  0  0  1  3 10  2 11   27
113  0  0  0  0  0  2  0  6  0 19   27
411  0  3  0  1  0  5  0 10  0  8   27
256  0  2  0  0  0 17  0  7  0  1   27
526  0  0  0  0  0  1  4 13  6  3   27
454  0  0  0  0  0  3  3  3  0 18   27
512  0  0  0  0  0  3  4  7  3 10   27
326  0  2  0  4  0  5  0 11  0  5   27
259  0  1  0  3  0 10  0  8  0  6   28
225  0  0  0  0  0  7  0 11  0 10   28
410  1  2  1  0  0  3  0  2  6 13   28
 16  0  0  0  0  0  2  4 12  7  4   29
191  0  1  0  9  0  9  0  8  0  2   29
650  0  4  0  2  0  9  0  9  0  5   29
305  0  6  0  5  0 11  0  5  0  2   29
541  0  2  0  4  0 10  0 10  0  3   29
162  0  0  0  2  0 19  0  4  0  5   30
591  0  0  2  2  4  5  9  5  3  0   30
645  0  1  1  1  0  5  5  9  5  3   30
464  0  0  0  2  0  2  0 13  0 13   30
424  1  3  0  2  0  3 11  5  5  0   30
357  0  0  0  0  0  6  0 10  0 14   30
636  0  0  0  2  0 14  0  9  0  5   30
618  0  0  0  5  0  1  0 10  0 15   31
455  1  0  0  0  2  2 11  8  6  1   31
 87  0  2  0  2  0 16  0  7  0  4   31
 51  0  1  0  3  0  4  0 11  0 12   31
336  0  7  0  2  0  6  0  3  0 13   31
622  0  0  0  1  0  1  1  1  2 25   31
511  0  1  0  0  0  4  0 10  0 16   31
108  0  1  0  2  0 16  0  6  0  6   31
141  0  1  0  7  0 10  0 10  0  3   31
204  1  1  1  1  4  6  3  8  2  4   31
631  0  0  0  3  0 11  0  9  0  8   31
670  0  2  0  3  0  5  0 10  0 11   31
258  0  0  0  1  0  4  0 15  0 12   32
107  5  0  4  3  0  4  5  6  3  2   32
633  0  0  0  3  0 22  0  7  0  0   32
332  7  0  3  1  0  2  3  4  5  7   32
 37  0  0  0  1  0  8  0 11  0 12   32
231  0  0  0  0  0  9  0 12  0 11   32
210  0  0  0  1 16  6  5  2  2  0   32
661  2  1  0  0  3  1  3  7  9  7   33
264  0  0  0  3  0  6  0  7  0 17   33
372  0  0  0  3  0  7  0 20  0  3   33
123  0  2  0  6  0  4  0  7  0 14   33
499  0  3  0  0  0  0  0 12  0 18   33
374  0  4  0  2  0 10  0 11  0  6   33
229  0  0  0  0  0  3  5 11 12  2   33
578  5  1  1  3  4 10  1  7  0  2   34
314  0  0  0  1  1  0  2 11  8 11   34
629  0  5  0  3  0 11  0  2  0 13   34
334  0  0  0  1  0  7  3 11  4  8   34
515  0  0  0  1  1  1  4  7  5 15   34
366  1  2  2  1  2  4  3 12  4  3   34
567  0  0  0  0  1  4  4  6  2 17   34
611  0  3  1  1  0  4  5 10  5  6   35
600  0  0  0  0  2  8  5  7  4  9   35
302  0  0  0  1  0 23  0  9  0  2   35
364 10  1  1  2  0  0  1  4 10  7   36
233  0  0  0  0  0 31  0  3  0  2   36
226  1  0  4  3  2  6  6 12  2  0   36
642  0  0  0  4  0  6  0 15  0 11   36
223  0  0  0  3  0 12  0 10  0 11   36
669  0  0  0  7  0 14  0 12  0  4   37
 80  0  2  0  5  0  8  0 13  0  9   37
203  0  0  0  1  3  2  7  7 11  6   37
568  0  1  0  1  0  6  0 13  0 16   37
 11  0  1  0  0  0  6  4  9  8 10   38
252  0  0  0  1  0 18  0 14  0  5   38
 55  0  0  0  3  0 17  0  9  0  9   38
360  0  0  0  4  0  8  0 19  0  7   38
404  0  2  0  3  0 10  0 14  0  9   38
576  0  1  0  2  0  7  0 22  0  6   38
507  0  2  0  8  0 12  0  9  0  7   38
179  1  0  0  2  2  4  6  8  2 13   38
145  0  1  0  0  0  5  0  5  0 27   38
 47  0  0  0  0  0 14  0 15  0  9   38
147  0  0  1  2  0  2  4 11  4 14   38
552  0  5  0  9  0 17  0  6  0  1   38
573  0  1  0  4  0 13  0 14  0  6   38
266  0  0  0  1  0 18  0 11  0  9   39
274  0  0  0  2  4  7 10 12  1  3   39
465  1  2  0  0  0  6  5  7  6 12   39
340  0  0  0  1  4  7  4 10  1 12   39
 82  0  1  0  3  0 16  0 10  0  9   39
644  0  1  0  5  0 11  0  8  0 14   39
272  1  0  1  1  0  3 11 16  1  5   39
206  0  0  0  2  0 23  0 10  0  4   39
632  0  0  0  0  1  3  4 13 10  8   39
 46  0  0  0  0  0  0  0  1  2 36   39
443  0  0  0  0  0  0  1  1  7 31   40
351  0  0  0  1  0  8  0 14  0 17   40
666  0  2  0 12  0 16  0  6  0  4   40
122  0  6  0  2  0 25  0  6  0  1   40
616  0  0  0  0  0 16  0 21  0  3   40
440  0  2  0  1  0 14  0 14  0  9   40
173  0  0  0  0  0  9  0 22  0  9   40
260  0  0  0  3  4  7  8  5  1 13   41
115  0  0  0  1  1  4  7  9  7 12   41
267  0  0  0  1  2  1  7 11 12  7   41
474  0  1  0  0  0  7  0 22  0 11   41
183  0  2  0  1  0  7  0 16  0 15   41
144  0  1  0  5  0 17  0  8  0 10   41
343  0  2  0  3  0  8  0 16  0 13   42
186  0  2  2  3  2  4  2  5 11 11   42
218  0  0  0  0  1  5  9 17  7  3   42
517  0  1  0  0  0  6  0 14  0 21   42
286  0  3  0  7  0 24  0  6  0  3   43
 40  0  0  0  0  0  0  1  8 23 11   43
589  0  0  0  0  0 20  0 20  0  3   43
322  0  0  0  6  0 11  0 13  0 13   43
619  0  1  0  4  0 19  0 10  0  9   43
 54  1  2  1  2  2  1  6  8 14  7   44
300  0  0  0  1  0  5  7 11 14  6   44
237  0  2  1  4  7  6  8  8  6  2   44
131  0  1  0  5  0 13  0 11  0 14   44
503  0  1  0  0  0  5  6 29  1  2   44
  6  1  2  3  7  0  7  3 11  6  4   44
156  4  0  1  0  0  0  1  5 16 18   45
106  2  1  0  1  2  5  5 10  7 12   45
  9  0  0  0  5  0  9  0 23  0  8   45
184  0  0  0  4  0 14  0 17  0 10   45
207 27  0  0  2  1  5  2  4  0  5   46
140  2  1  3  2  1  6 10  9 11  1   46
359  1  1  0  1  1  9  7 12 13  1   46
543  0  0  0  0  0  8  0 14  0 24   46
476  0  7  0  7  0 14  0 12  0  6   46
 10  0  0  0  5  0 13  0 19  0  9   46
 50  0  1  0  2  0 27  0 15  0  1   46
601  0  0  1  1  4  6 10 14  7  3   46
 53  0 15  0  4  0  8  0 14  0  5   46
421  0  6  0 10  0 17  0  8  0  6   47
 32  0  0  0  4  0 19  0 14  0 11   48
508  0  1  0  1  0 16  0 15  0 15   48
171  0  0  0  2  0 10  0 18  0 18   48
208  0  0  0  2  1  6  2 19 10  8   48
640  0  1  0  3  0 20  0 13  0 12   49
 66  0  0  0  4  0  9  0 21  0 15   49
581 34  0  0  1  1  3  2  5  2  1   49
521  0  0  0  0  0  4  8 12 14 11   49
 74  0  1  0  1  0  8  0 21  0 18   49
 28  0  1  0  3  0  3  0 17  0 26   50
136  0  1  0  1  0  6 12 17 10  3   50
194  0  0  0  0  0 29  0 18  0  3   50
261  4  2  1  1  1  5  6 11  7 12   50
419  0  0  0  1  4  8 17  7 13  0   50
 90  0  0  0  4  0 11  0 29  0  6   50
  3  0  0  0  1  3 18  9 11  4  5   51
389  0  3  0  6  0 13  0 22  0  7   51
532  0  0  0  1  2  9 17 11 10  1   51
653  0  2  0  0  0 13  0 17  0 19   51
155  0  1  0  5  0 16  0 16  0 13   51
369  0  0  0  1  0 21  0 23  0  6   51
462  0  1  0  5  3 16 12  6  2  6   51
153  0  2  0  3  0  6  0 10  0 30   51
 18  0  2  0  5  0 25  0 17  0  2   51
409  0  2  0  2  0  5  0 19  0 23   51
393  0  1  7  4  6  5 11 10  6  1   51
284  0  4  0  4  0 23  0 13  0  8   52
588  0  0  0  2  0 24  0 15  0 11   52
354  0  2  0  3  0 13  0 14  0 20   52
451  0  6  0  3  0 10  0 17  0 16   52
613  0  0  1  0  5  7 10 15  8  7   53
 62  0  0  1  0  0  5  7 22 10  8   53
348  0 15  0  1  0  1  0  7  0 29   53
398  0  0  0  1  0 10  0 30  0 12   53
 13  0  0  0  0  3 12  9 16 11  2   53
278  0  0  0  7  0 15  0 21  0 10   53
215  0  0  0  0  0 19  0 24  0 11   54
488  0  0  0  0  1  3  7 19 20  4   54
425  3  2  1  2  3  9 10 14  6  5   55
639  0  0  0  5  0 27  0 20  0  3   55
211  0  0  0  1  0  4  0 27  0 23   55
101  0  0  0  1  6  3 10 14 15  6   55
117  4  0  0  1  2  5  6 14 12 11   55
 60  0  0  1  0  2  5  5 13 12 17   55
192  0  1  0  6  0 23  0 14  0 11   55
 79  5  0  0  7 19 20  3  1  0  0   55
315  0 23  0  8  0 10  0  4  0 10   55
241  0  0  0  8  0 34  0 11  0  3   56
166  1  1  0  4  4  7  3 22 10  4   56
279  0  2  0 11  0 26  0 10  0  8   57
338  0  0  0  1  0 32  0 20  0  4   57
586  1  6  3  5  4  3  4 12  5 14   57
277  0  0  0  3  3  8  6 17  1 20   58
400  0  1  0  2  0 24  0 24  0  7   58
320  0  0  0  2  1  3 18 25  6  3   58
662  0  2  0  4  0 26  0 21  0  5   58
482  0  0  0  7  0 16  0 16  0 20   59
376  0  1  0  6  0 11  0 20  0 21   59
318  0  5  0  4  0 26  0 20  0  4   59
397  0  0  1  1  6 12 15 16  8  0   59
571  0  0  0  2  6  6 15 19 10  1   59
190  0  0  0  1  0 16  0 25  0 18   60
658  0  0  0  0  0 10  0 19  0 31   60
228  1  2  0  1  1  4  3 14  1 33   60
606  0  0  0  1  2  8  7 10  8 24   60
308  0  4  0  7  0 19  0 16  0 15   61
142  0 10  0 12  0 27  0 10  0  2   61
 12  0 12  0 17  0 14  0 10  0  8   61
432  1  1  0  0  0  3  3 13  9 32   62
383  0  0  0  7  0 31  0 14  0 10   62
 39  0  0  0  2  0 23  0 23  0 14   62
436  0  3  0  2  0  9  0 20  0 28   62
491  0  6  0  6  0 14  0 24  0 13   63
542  0  1  1  4  5  6  7 11 13 15   63
327  0  0  0  1  2  7  7 22 11 13   63
197  0  2  0  2  0 14  0 17  0 28   63
535  0  4  0  7  0 39  0 10  0  3   63
126  0  0  0  3  0 26  0 28  0  7   64
151  0  2  0  2  0 26  0 15  0 19   64
524  1  0  1  4  1 10  7 15 18  7   64
467  0  0  0  5  0 13  0 31  0 15   64
554  0  7  0  8  0 12  0 29  0  8   64
546  3  1  0  0  0  4  1  8  6 42   65
557  5  3  3 12  9  9 12 11  2  0   66
193  0  0  0  0  0 10  0 30  0 26   66
612  0  0  0  2  7 15 17 19  5  1   66
 89  0  0  0  1  0  2  1 15  7 40   66
456  1  0  1  0  1  7 16 25  9  7   67
625  1  0  2  0  1  0  4 27 19 13   67
290  0  1  0  2  1  2  1 14 18 28   67
667  0  0  0  4  0 28  0 24  0 12   68
139  3  1  0  3  4  9 13 13 15  7   68
 52  2  6  0  5  0  1 12 15 12 15   68
 31  0  0  0  1  0  3  8 22 29  6   69
470  1  0  1  4  8 17 20 12  5  1   69
593  0  0  0  2  0 21  0 26  0 21   70
361  0  1  0  1  0 33  0 25  0 10   70
 42  0  0  1  2  1  4 13 22 15 12   70
365  0  1  0  1  0  8  9 19 12 20   70
 98  0  0  1  1  2  8  8  6  4 41   71
379  0  1  2  3  1  8 14 27 14  1   71
271  0  1  0  4 10  6  8 15 19  9   72
307  0  0  0  1  0  2  6 28 18 17   72
401  0  1  0  2  0  6  0 20  0 43   72
 58  0  7  0 17  0  9  0 19  0 21   73
406  0  2  0  1  0  3 16 11 16 24   73
146  0  2  1  1  6 14 16 20  8  5   73
478  0  0  0  0  3  1 10 15 23 22   74
244  6  1  1  4  2  5 11 16 10 18   74
492  0  3  0 10  0 21  0 22  0 18   74
198  1  2  3  7  4  7  7  9 10 25   75
288  0  2  0  6  0 23  0 17  0 27   75
555  0  5  0  6  0 41  0 17  0  6   75
321  0  3  0  8  0 16  0 29  0 19   75
298  0  0  0  0  0  2  2  8  0 63   75
594  0  0  0  5  0 15  0 22  0 33   75
617  0  7  0 11  0 33  0 14  0 10   75
 96  0  0  0  1  4 11  4 22  5 29   76
  2  0  2  0  4  0 36  0 23  0 11   76
104  0  0  0  0  0  2 18 30 22  4   76
458  0  0  0  1  8 13 15 28  5  6   76
473  1  1  0  3  3  4  6  8  4 46   76
202  0  1  0 10  0 15  0 35  0 15   76
143  2  5  4  2  1  8  8  9 23 15   77
 59  7  4 10  4  4  3 12 18  6 10   78
530  0  4  0 11  0 11  0 22  0 30   78
494  0  1  0  2  1  4 11 30 20  9   78
293  3  0  5  6  2  9 15 20 13  6   79
121  0  0  0  0  0 20  0 37  0 23   80
137  0  3  0 10  0 16  0 27  0 24   80
 69  1  1  0  1  2  4 14 13 23 22   81
163  7  0  5  5  9  8 15 16 11  5   81
333  0  0  0  0  2  3  5 28 27 16   81
414  0 15  0 21  0 26  0 16  0  3   81
138  9  3  1  4  4 13 13 19  8  7   81
610  0  3  0  2  5 14 20 27  5  6   82
281  0  0  0  1  2 12 11 26 19 11   82
164  0  1  0  2  5 10 18 32  8  6   82
216  0  0  0  1  1  0  6 24 24 26   82
 70  0  0  0  0  0 21  0 24  0 38   83
352  0  0  0  0  4  9 16 39 12  4   84
124  0  0  0  4  7 14 13 23 11 13   85
422  0  0  0  6  0 16  0 37  0 26   85
569  0  1  0  4  0 16  0 28  0 36   85
551  0  1  0  2  0 47  0 32  0  3   85
453  0  0  0 11  0 33  0 24  0 18   86
291  0  0  0  1  3  6  7 20 28 22   87
447  0  3  0 10  0 58  0 14  0  2   87
628  1  0  5  8 17 19 11 21  2  3   87
222  0  1  0  5  0 15  0 28  0 39   88
  7  0  3  0  5  0 41  0 26  0 13   88
224  0  0  0  0  0  8  0 56  0 24   88
590  0  0  0  0  0 53  0 29  0  7   89
649  0  3  0  4  0 39  0 32  0 12   90
161  0  0  0  0  0 49  0 29  0 12   90
238  0  0  1  5  9 16 19 24  9  8   91
545  0 10  0  7  0 11  0 18  0 46   92
273  0  1  0  0  0  3  8 28 27 25   92
660  1  0  0  0  2  4  4 31 44  6   92
132  0  0  1  1  4  2 11 18 25 32   94
230  0  0  0  1  2  2  7 20 14 48   94
103  0  8  6  7  2 11 13 24 13 10   94
330  0  7  0  9  0 29  0 33  0 17   95
621  2  3  1  1  3  5 15 22 25 18   95
 63  4  6  2  4  4  6  5 21 18 27   97
 20  6  6  3  9  5  8 14 24 11 12   98
420  0  2  0  6  0 25  0 41  0 24   98
479  1  1  0  6  0  5  5 40 18 23   99
385  0  3  0  6  0 44  0 31  0 15   99
614  0  9  0 12  0 13  0 33  0 32   99
196  0  3  0 11  0 20  0 47  0 18   99
 49  0  6  0 13  0 28  0 33  0 19   99
248  0  0  0  3  0  7  0 47  0 42   99
188  0  0  0  3  0 50  0 33  0 14  100
  5  0  0  1  0  3  3 27 42 19  5  100
160  0  0  0  6  0 23  0 42  0 29  100
370  1  0  0  2  1 14 14 31 20 17  100
560  0  0  0  0  0  9 25 49  9  8  100
623  0  0  2  2  1  5 20 29 23 21  103
257  8  2  1  2  8  8 16 23 14 21  103
 67  0  4  0  3  0 35  0 33  0 28  103
217  0  2  1  0  5 11  4 18 24 39  104
 36  0  0  0  3  0 49  0 37  0 15  104
339  0  0  1  5  6 12 22 21 25 13  105
497  0  3  0 14  0 19  0 35  0 34  105
655  0  1  0  4  3  7  4 47 11 28  105
572  0  0  0  0  4 20 34 32 14  2  106
416  0  3  0  9  0 62  0 29  0  4  107
 85  0 17  0  9  0 35  0 29  0 17  107
536  0  2  0 10  0 24  0 37  0 36  109
381  0 15  0 18  0 30  0 21  0 26  110
 43  0  9  0 28  0 34  0 32  0  7  110
493  0  6  0  9  0 29  0 54  0 12  110
 38  0  0  0  0  0  6  7 32 48 18  111
391  0 10  0  7  0 26  0 31  0 39  113
169  0  2  1  3  3  9 21 15 16 43  113
304  3  1  7  6  1  8 15 14 26 32  113
502  0  1  0  2  0 31  0 46  0 33  113
603  0  0  0  5  0 43  0 28  0 38  114
263  0  2  1  6  6 38 38 20  3  0  114
234  1  0  2  2 10 12 20 31 21 16  115
671  0  1  0  4  4  9 13 57  8 19  115
168  0  5  0 15  0 54  0 29  0 13  116
 84  0  0  0  0  1 15 46 44  7  3  116
  8  1  0  0  3  4 13 26 35 16 18  116
362  0  0  0  6 10  8 29 29 23 14  119
251  0  0  0  2  2  4 10 31 26 44  119
483  8  6  2  4  4 12 13 34  5 31  119
450  1  5  0  3  1  6  5 13 27 59  120
110  0  1  0  1  0 18  0 58  0 42  120
441  2  3  0  2  6 10 18 34 30 15  120
386  0 12  0 28  0 48  0 30  0  3  121
201  2  2  0  1  0 12  0 62  0 43  122
 68  0  2  2  0  5 16 39 46 10  3  123
 92  0  9  0 21  0 54  0 20  0 19  123
245  0  6  0 10  0 23  0 31  0 55  125
175  0  2  0 11  0 21  0 74  0 17  125
523  0  1  1  0  3  8 17 50 30 16  126
496  0  1  0  6  0 31  0 53  0 35  126
282  5  0  4  6  5 14 25 34 18 16  127
528  1  1  0  7 11 33 32 26 13  3  127
309  0  0  0  2  4  2 13 33 35 39  128
656  0  2  0  2  0  6  0 35  0 83  128
 97  4  7 15 13 12 12 19 27 14  5  128
570  0  0 10 10  9 12 13 34 13 27  128
602  0  6  0  5  0 48  0 41  0 29  129
559  0  0  0  2  0 13  0 43  0 71  129
178  0  0  3  5 15 29 26 29  8 15  130
182  0  3  0  3  0 50  0 34  0 41  131
148  0  1  0  4  5 10 19 39 30 24  132
531 10  6  7 10 11 18 35 24  7  4  132
592  0  4  0 17  0 20  0 42  0 50  133
527  4  9  7  8 12 20 30 19 20  6  135
550  0  4  0 15  0 39  0 52  0 25  135
120  1  0  5  5 10 31 37 21 17 11  138
219  4  1  0  8  0 38  3 47  4 33  138
 33  0  8  0 29  0 29  0 61  0 11  138
486  0  0  2  9 18 23 18 31 13 24  138
525  0 11  0 11  0 31  0 46  0 39  138
297  2  3  1 18  4 16 20 29 25 20  138
548  0  0  0  1  0 93  0 35  0  9  138
582  1  9  5  4  8  9 18 44 25 15  138
417  7  0  1  3  3  7 24 50 34 10  139
316  0  0  1  4  3 26 37 59  8  2  140
609  0104  0  0  0  2  0  2  0 32  140
641  0  0  0  1  0 43  0 65  0 31  140
396  0  2  0 15  0 79  0 36  0  9  141
254  0  3  0  8  0 64  0 50  0 16  141
659  0  2  0 20  0 58  0 45  0 17  142
255  0  3  8  7 10 23 19 25 22 28  145
 75 11  5  1  8  6 28 17 46 20  3  145
378 21  1  0  1  5 20 36 39 24  0  147
159  2  2  6  6  8 17 33 41 23 10  148
516  0  0  0  1  0 90  0 46  0 12  149
 91  0  0  0  3  3 19 16 29 33 47  150
647  0  3  0  4  0 17  0 51  0 75  150
626  0  6  0 25  0 36  0 54  0 29  150
324  0  1  2  0 10 26 62 43  5  2  151
487  0  0  0  1  0 57  0 70  0 24  152
390  0 10  0 18  0 75  0 24  0 26  153
520  6  7  6 10  9 18 31 29 21 17  154
235  0  1  1  0  3  8 19 36 50 37  155
250  0  0  0  0  0  8 13 59 39 36  155
563  0  1  3  2  6 10 28 58 36 14  158
 93  0  0  0  0  8 15 51 58 13 14  159
 81  0  0  1  4  6 16 15 70 27 21  160
519  0  0  0  2  0  4  8 44 51 51  160
510  0 24  0 22  0 32  0 56  0 27  161
371  4  4  1 10  3 11 20 43 44 21  161
 83  8  4  2  3  1  2 21 51 30 39  161
 21  0  0  0  5  0 90  0 47  0 20  162
533  0  5  0 22  0 61  0 61  0 14  163
595  0 10  0 10  0 23  0 57  0 63  163
428  7  4  5  6  8 21 15 30 24 46  166
 61  1  5  9 13 29 26 26 23 10 24  166
418  2  2  7  6  9 18 50 34 22 18  168
350  0  5  0 14  0 29  0 76  0 44  168
646  0  4  0  7  0 16  0 78  0 64  169
328  0  2  4  3  7 46 62 33 12  1  170
620 16  7 13  9 16 28 19 48 13  3  172
 26  7  1  4 10 10 26 38 40 20 16  172
189  0 46  0 41  0 39  0 23  0 27  176
344  0  6  0 13  0 60  0 59  0 39  177
133 35 15 12 26 19 19  9 29  6  8  178
265  0  1  0 12  0 27  0 95  0 48  183
 34  0  3  0  3  0 42  0 94  0 45  187
342  0  1  0  6  0 22  0 88  0 70  187
 99  0 13  0 26  0 51  0 63  0 35  188
118  0  3  0  5  0 39  0 84  0 58  189
283  1  2  6  9 14 24 32 33 41 27  189
 86  0  9  0  7  0 74  0 62  0 38  190
 72  0  2  3  7 15 63 66 33  1  1  191
599  2  1  5  2  5 11 29 59 39 39  192
434  0 12  0 19  0 24  0 99  0 38  192
584  3  5  5  5 17 26 30 32  5 65  193
627  3 17 10  7 23 23 36 59 11  5  194
 94  2  5 10  8 23 28 34 47 26 13  196
433  1  2  3  5 10 26 36 42 40 33  198
 41  0  0  0  0  4 18 43106 18 10  199
363  0  9  0 23  0 37  0 80  0 52  201
553  0  0  1  3 10 18 34 63 27 45  201
597  0  0  0 12  0 43  0 77  0 70  202
275  1  0  1  1  0  7 10 38 65 79  202
501  3  1  2  4  8 23 28 53 38 43  203
  4  0  5  0  5  0 23  0 52  0119  204
185  0  0  0 17  0 79  0 75  0 33  204
394 37  9 11 15  5 35 29 30 24 10  205
253  1  6  8 19  5  9 26 64 55 12  205
205  7  6  5 10 16 38 36 42 25 21  206
 57  0  9  0 14  0 37  0 66  0 83  209
125  7  2  2  3  6 14 18 55 49 54  210
214  0  2  0 13  0 43  0 77  0 79  214
345  4  5  8 14 11 13 25 40 59 35  214
558  0  1  0  2  0 27  0 78  0107  215
471  0  1  0  8 13 31 65 57 36  5  216
466  0  4  0 24  0 50  0 72  0 66  216
367  6  7  1 25 14 40 35 47 21 21  217
152  3  3  9 16 14 26 51 64 22 10  218
412  0 34  0 39  0 81  0 44  0 21  219
373  0 16  0 15  0 53  0102  0 33  219
 22  0  3  6 36 36 25 27 42 32 13  220
408  0 18  0 30  0 39  0 61  0 74  222
303  0  1  0  8 11 42 58 59 36  8  223
177  0  5  0 12  0 47  0 81  0 79  224
236  2  0  0  5 13 18 26 60 58 42  224
442  2  4  0  1  4  2 11 57118 26  225
270  0  0  2  4 18 28 56 71 34 16  229
240  0  0  2  0  6 20 39 96 58  9  230
149  1  6  6 11  8 37 62 76 13 11  231
295  0  2  0  6  8 19 31 89 59 22  236
500  6 18 18 15 28 51 48 42 19  4  249
522  0  2 14 19 40 52 56 48 17  2  250
200  5 14 15 15 24 37 41 47 50  5  253
562  0  1  0  0  4 16 46110 47 29  253
287  2  0  0  0  1  5 14 45 63124  254
426  3  6  9 18 30 39 45 57 44  3  254
 88  7  4  5 13 24 46 44 77 29  6  255
176 10 12 10 33 31 50 52 42  8  8  256
648  0  3  6 19  9 22 44109 39  5  256
439  0 23  0 40  0106  0 77  0 14  260
 78  0  1  3  4  6  8 32 53 52104  263
652  0  0  0  0  1 11 20146 15 74  267
